"","dhs_id","site_id","site_name","latitude","longitude","rural_urban","country","country_id","continent_id","month_start","year_start","month_end","year_end","lower_age","upper_age","examined","positive","pr","species","method","rdt_type","pcr_type","malaria_metrics_available","location_available","permissions_info","citation1","citation2","citation3"
"58",NA,15355,"Kimwogo Primary School",0.2503,35.5578,"UNKNOWN","Kenya","KEN","Africa",11,2009,11,2009,5,17,110,0,0,"P. falciparum","RDT","Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025",NA,"true","true","","Snow, RW, Noor, A and Gitonga, C, Nairobi. (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",""
"59",NA,7316,"Dzunguni",-3.5084,39.8349,"UNKNOWN","Kenya","KEN","Africa",12,1990,11,1991,0,4,14,3,0.2143,"P. falciparum","Microscopy","",NA,"true","true","","Snow, R.W., . (1991) personal communication.","",""
"66",NA,16050,"Omboye Primary School",-0.152,34.313,"UNKNOWN","Kenya","KEN","Africa",10,1998,10,1998,12,18,27,8,0.2963,"P. falciparum","Microscopy","",NA,"true","true","","Leenstra, T., Petersen, L.T., Kariuki, S.K., Oloo, A.J., Kager, P.A. and ter Kuile, F.O. (2005).  <b>Prevalence and severity of malnutrition and age at menarche; cross-sectional studies in adolescent schoolgirls in western Kenya.</b> <i>European Journal of Clinical Nutrition</i>, <b>59</b>(1):41-8","Leenstra, T., . (2009) personal communication.",""
"68",NA,20022,"Tezo/Mwandoni/Kipetauso",-3.5416,39.8474,"UNKNOWN","Kenya","KEN","Africa",6,1995,6,1995,4,8,2,1,0.5,"P. falciparum","Microscopy","",NA,"true","true","","Snow, R.W., Omumbo, J.A., Lowe, B., Molyneux, C.S., Obiero, J.O., Palmer, A., Weber, M.W., Pinder, M., Nahlen, B., Obonyo, C., Newbold, C., Gupta, S. and Marsh, K. (1997).  <b>Relation between severe malaria morbidity in children and level of <i>Plasmodium falciparum</i> transmission in Africa.</b> <i>The Lancet</i>, <b>349</b>(9066):1650-4","Snow, R.W., . (1997) personal communication.",""
"71",NA,8036,"Kibukoni",-3.5964,39.8028,"UNKNOWN","Kenya","KEN","Africa",1,1990,12,1991,0,5,11,3,0.2727,"P. falciparum","Microscopy","",NA,"true","true","","Snow, R.W., . (1991) personal communication.","",""
"72",NA,2196,"Mikingirini",-3.5899,39.8394,"UNKNOWN","Kenya","KEN","Africa",10,1985,3,1986,0,99,86,12,0.1395,"P. falciparum","Microscopy","",NA,"true","true","","Ashford, R.W., Craig, P.S. and Oppenheimer, S.J. (1993).  <b>Polyparasitism on the Kenya coast. 2. Spatial heterogeneity in parasite distributions.</b> <i>Annals of Tropical Medicine and Parasitology</i>, <b>87</b>(3):283-93","",""
"73",NA,16392,"Ndavaya",-4.2497,39.1652,"UNKNOWN","Kenya","KEN","Africa",9,2003,9,2003,0.6,4,19,15,0.7895,"P. falciparum","RDT","Unknown",NA,"true","true","","Marsh, V.M. and Abuya, T., . (2004) personal communication.","",""
"75",NA,9330,"Mahaya Primary School",-0.1505,34.3385,"UNKNOWN","Kenya","KEN","Africa",2,1999,2,1999,12,18,13,1,0.0769,"P. falciparum","Microscopy","",NA,"true","true","","Leenstra, T., Petersen, L.T., Kariuki, S.K., Oloo, A.J., Kager, P.A. and ter Kuile, F.O. (2005).  <b>Prevalence and severity of malnutrition and age at menarche; cross-sectional studies in adolescent schoolgirls in western Kenya.</b> <i>European Journal of Clinical Nutrition</i>, <b>59</b>(1):41-8","Leenstra, T., . (2009) personal communication.",""
"77",NA,6989,"Mdzongoloni, Kakanjuni/Kwa Kimanje & Majivuni &Mikingirini",-3.5599,39.8433,"UNKNOWN","Kenya","KEN","Africa",3,1995,3,1995,1,4,56,32,0.5714,"P. falciparum","Microscopy","",NA,"true","true","","Marsh, K., . (1995) personal communication.","",""
"79",NA,2688,"Sambul Primary School",-0.4657,39.6624,"UNKNOWN","Kenya","KEN","Africa",2,2009,2,2009,5,17,111,0,0,"P. falciparum","RDT","Unknown",NA,"true","true","","Gitonga, C. and Brooker, S., . (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",""
"81",NA,3390,"Dzunguni A & Mwatate B",-3.517,39.805,"UNKNOWN","Kenya","KEN","Africa",1,1990,10,1991,1,7,8,2,0.25,"P. falciparum","Microscopy","",NA,"true","true","","Snow, R.W., . (1991) personal communication.","",""
"83",NA,3472,"Ziarasa",-4.1413,39.2506,"UNKNOWN","Kenya","KEN","Africa",9,2003,9,2003,1.4,5,19,19,1,"P. falciparum","RDT","Unknown",NA,"true","true","","Marsh, V.M. and Abuya, T., . (2004) personal communication.","",""
"86",NA,7969,"Bohoni Primary School",-1.395,40.0146,"UNKNOWN","Kenya","KEN","Africa",3,2009,3,2009,5,17,100,14,0.14,"P. falciparum","RDT","Unknown",NA,"true","true","","Gitonga, C. and Brooker, S., . (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",""
"90",NA,13623,"Mosando",-0.6753,34.7354,"RURAL","Kenya","KEN","Africa",7,1998,7,1998,0,16,389,139,0.3573,"P. falciparum","Microscopy","",NA,"true","true","","Kaneko, A. (1998). <i>Malaria epidemiology and drug resistance in Kisii, Kenya.</i> . Kisii. JICA. 1-13","",""
"91",NA,9086,"Kacheliba Town",1.4888,35.0071,"URBAN","Kenya","KEN","Africa",6,2006,9,2006,1,52,32,1,0.0312,"P. falciparum","RDT","Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025",NA,"true","true","","Kolaczinski, J.H., Reithinger, R., Worku, D.T., Ocheng, A., Kasimiro, J., Kabatereine, N. and Brooker, S. (2008).  <b>Risk factors of visceral leishmaniasis in East Africa: a case-control study in Pokot territory of Kenya and Uganda.</b> <i>International Journal of Epidemiology</i>, <b>37</b>(2):344-52","",""
"93",NA,1335,"Waringa School",-0.1383,34.3012,"UNKNOWN","Kenya","KEN","Africa",3,2005,3,2005,5,14,188,5,0.0266,"P. falciparum","Microscopy","",NA,"true","true","","Brooker, S., . (2008) personal communication.","Clarke, SE, Jukes, MC, Njagi, JK, Khasakhala, L, Cundill, B, Otido, J, Crudder, C, Estambale, BB and Brooker, S (2008).  <b>Effect of intermittent preventive treatment of malaria on health and education in schoolchildren: a cluster-randomised, double-blind, placebo-controlled trial.</b> <i>Lancet</i>, <b>372</b>(9633):127-38",""
"94",NA,18218,"Olikilmanpan Boarding School ",-1.833,36.133,"UNKNOWN","Kenya","KEN","Africa",5,1986,5,1986,6,18,188,80,0.4255,"P. falciparum","Microscopy","",NA,"true","true","","Nevill, C.G., Watkins, W.M., Carter, J.Y. and Munafu, C.G. (1988).  <b>Comparison of mosquito nets, proguanil hydrochloride, and placebo to prevent malaria.</b> <i>British Medical Journal (Clinical Research Edition)</i>, <b>297</b>(6645):401-3","",""
"95",NA,8899,"Kilulu",-4.3946,39.3549,"UNKNOWN","Kenya","KEN","Africa",9,2003,9,2003,0.3,4,19,13,0.6842,"P. falciparum","RDT","Unknown",NA,"true","true","","Marsh, V.M. and Abuya, T., . (2004) personal communication.","",""
"101",NA,5725,"Nguka Primary School",-0.1493,34.3928,"RURAL","Kenya","KEN","Africa",3,1999,3,1999,12,18,12,4,0.3333,"P. falciparum","Microscopy","",NA,"true","true","","Leenstra, T., Petersen, L.T., Kariuki, S.K., Oloo, A.J., Kager, P.A. and ter Kuile, F.O. (2005).  <b>Prevalence and severity of malnutrition and age at menarche; cross-sectional studies in adolescent schoolgirls in western Kenya.</b> <i>European Journal of Clinical Nutrition</i>, <b>59</b>(1):41-8","Leenstra, T., . (2009) personal communication.",""
"102",NA,9706,"Lenda Primary School",-1.5704,40.0537,"UNKNOWN","Kenya","KEN","Africa",2,2009,2,2009,5,17,104,26,0.25,"P. falciparum","RDT","Unknown",NA,"true","true","","Gitonga, C. and Brooker, S., . (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",""
"103",NA,20953,"St. Antony Primary School",0.6036,34.7704,"UNKNOWN","Kenya","KEN","Africa",9,2009,9,2009,5,17,107,16,0.1495,"P. falciparum","RDT","Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025",NA,"true","true","","Snow, RW, Noor, A and Gitonga, C, Nairobi. (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",""
"105",NA,17383,"Mosobeti Primary School",-0.9184,34.712,"UNKNOWN","Kenya","KEN","Africa",7,2009,7,2009,4,15,102,0,0,"P. falciparum","RDT","Unknown",NA,"true","true","","Snow, RW, Noor, A and Gitonga, C, Nairobi. (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",""
"106",NA,16808,"Nzinia",-1.1806,37.9497,"UNKNOWN","Kenya","KEN","Africa",4,1994,4,1994,5,10,130,26,0.2,"P. falciparum","Microscopy","",NA,"true","true","","Mugo, T. (1994). <i>Not found in the legacy system.</i> . Nairobi. Division of Vector-Borne Diseases, Ministry of Health. ","",""
"108",NA,2864,"Mwaniambo",-1.7054,37.6933,"UNKNOWN","Kenya","KEN","Africa",9,2003,9,2003,0.6,4,17,0,0,"P. falciparum","RDT","Unknown",NA,"true","true","","Marsh, V.M. and Abuya, T., . (2004) personal communication.","",""
"109",NA,19706,"Wireless",-3.4013,39.9604,"UNKNOWN","Kenya","KEN","Africa",6,1995,6,1995,1,9,19,11,0.5789,"P. falciparum","Microscopy","",NA,"true","true","","Snow, R.W., Omumbo, J.A., Lowe, B., Molyneux, C.S., Obiero, J.O., Palmer, A., Weber, M.W., Pinder, M., Nahlen, B., Obonyo, C., Newbold, C., Gupta, S. and Marsh, K. (1997).  <b>Relation between severe malaria morbidity in children and level of <i>Plasmodium falciparum</i> transmission in Africa.</b> <i>The Lancet</i>, <b>349</b>(9066):1650-4","Snow, R.W., . (1997) personal communication.",""
"111",NA,9822,"Palakumi",-3.5972,39.6006,"UNKNOWN","Kenya","KEN","Africa",10,1985,10,1985,0,99,37,16,0.4324,"P. falciparum","Microscopy","",NA,"true","true","","Ashford, R.W., Craig, P.S. and Oppenheimer, S.J. (1993).  <b>Polyparasitism on the Kenya coast. 2. Spatial heterogeneity in parasite distributions.</b> <i>Annals of Tropical Medicine and Parasitology</i>, <b>87</b>(3):283-93","",""
"113",NA,22470,"Maranda School",-0.0826,34.224,"UNKNOWN","Kenya","KEN","Africa",3,2005,3,2005,5,14,107,1,0.0093,"P. falciparum","Microscopy","",NA,"true","true","","Brooker, S., . (2008) personal communication.","Clarke, SE, Jukes, MC, Njagi, JK, Khasakhala, L, Cundill, B, Otido, J, Crudder, C, Estambale, BB and Brooker, S (2008).  <b>Effect of intermittent preventive treatment of malaria on health and education in schoolchildren: a cluster-randomised, double-blind, placebo-controlled trial.</b> <i>Lancet</i>, <b>372</b>(9633):127-38",""
"119",NA,17638,"Mtondia",-3.57,39.87,"UNKNOWN","Kenya","KEN","Africa",3,1991,7,1991,2,5,5,1,0.2,"P. falciparum","Microscopy","",NA,"true","true","","Snow, R.W., . (1991) personal communication.","",""
"120",NA,14595,"Cluster 3",-3.8595,39.744,"UNKNOWN","Kenya","KEN","Africa",4,2009,4,2009,4,10,5,4,0.8,"P. falciparum","Microscopy","",NA,"true","true","",", Kilifi. (2009) personal communication.","",""
"122",NA,5457,"Swabaha Primary School",-2.3903,40.7752,"UNKNOWN","Kenya","KEN","Africa",7,2009,7,2009,4,15,56,0,0,"P. falciparum","RDT","Unknown",NA,"true","true","","Snow, RW, Noor, A and Gitonga, C, Nairobi. (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",""
"124",NA,201,"Nyonjoro Primary School",0.0046,36.5439,"RURAL","Kenya","KEN","Africa",11,2009,11,2009,5,17,110,0,0,"P. falciparum","RDT","Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025",NA,"true","true","","Snow, RW, Noor, A and Gitonga, C, Nairobi. (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",""
"127",NA,13484,"Jaribuni",-3.633,39.733,"RURAL","Kenya","KEN","Africa",10,1985,3,1986,0,99,66,44,0.6667,"P. falciparum","Microscopy","",NA,"true","true","","Ashford, R.W., Craig, P.S. and Oppenheimer, S.J. (1993).  <b>Polyparasitism on the Kenya coast. 2. Spatial heterogeneity in parasite distributions.</b> <i>Annals of Tropical Medicine and Parasitology</i>, <b>87</b>(3):283-93","",""
"130",NA,12532,"Namwitsula",0.3545,34.2083,"UNKNOWN","Kenya","KEN","Africa",2,2003,2,2003,0.4,5,29,27,0.931,"P. falciparum","RDT","Unknown",NA,"true","true","","Marsh, V.M. and Abuya, T., . (2004) personal communication.","",""
"137",NA,13485,"Mijomboni",-3.2599,40.0122,"RURAL","Kenya","KEN","Africa",5,1998,5,1998,6,12,100,63,0.63,"P. falciparum","Microscopy","",NA,"true","true","","Mbogo, C.M., Mwangangi, J.M., Nzovu, J., Gu, W., Yan, G., Gunter, J.T., Swalm, C., Keating, J., Regens, J.L., Shililu, J.I., Githure, J.I. and Beier, J.C. (2003).  <b>Spatial and temporal heterogeneity of <i>Anopheles</i> mosquitoes and <i>Plasmodium falciparum</i> transmission along the Kenyan coast.</b> <i>American Journal of Tropical Medicine and Hygiene</i>, <b>68</b>(6):734-42","",""
"142",NA,17281,"Makosheni",-3.5804,39.8259,"UNKNOWN","Kenya","KEN","Africa",12,1990,11,1991,1,4,8,3,0.375,"P. falciparum","Microscopy","",NA,"true","true","","Snow, R.W., . (1991) personal communication.","",""
"143",NA,15439,"Canon Apolo Primary School",-1.2959,36.8601,"URBAN","Kenya","KEN","Africa",7,2009,7,2009,4,15,112,4,0.0357,"P. falciparum","RDT","Unknown",NA,"true","true","","Snow, RW, Noor, A and Gitonga, C, Nairobi. (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",""
"145",NA,6142,"Kateiko Primary School",-2.0037,37.7112,"RURAL","Kenya","KEN","Africa",11,2009,11,2009,5,17,110,0,0,"P. falciparum","RDT","Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025",NA,"true","true","","Snow, RW, Noor, A and Gitonga, C, Nairobi. (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",""
"146",NA,13700,"Rongai",-0.1754,35.8633,"UNKNOWN","Kenya","KEN","Africa",5,1994,5,1994,0,5,114,6,0.0526,"P. falciparum","Microscopy","",NA,"true","true",""," (1994). <i>Vitamin A deficiency in Kenya: A report of the national micronutrients survey, 1994.</i> . Nairobi. UNICEF. 1-89","",""
